distribution,fileSizeBytes,round,sha256,encryptMs,decryptMs,success
text-json,1048576,8,a862f614be470aa47554cd20917472d74728a56e0a1cc360ca66cc9feadb5e74,0.7026,0.3482,true
text-json,1048576,9,d25ab7d6b742fb878323515aa87e8c6c9116c3855abf68e418963ea79fd2e8f5,0.7207,0.3188,true
text-json,1048576,10,74a68e1435d9307ba41a6c405ee36763ade3b8258747c12df895b2e1d43e5426,0.6897,0.3205,true
text-json,1048576,11,2640298a1f469c3c503b973e093dd3d4e6fdb00b21baec300bc0e5f1a85874da,0.7544,0.3120,true
text-json,1048576,12,6fd4b58607995b7cef3fc75c1d599c7ec97ab50c94398488c5b131e0e4d2878f,0.8086,0.3219,true
text-json,1048576,13,875083329998a61f5ebfc536d531b4487e460b8b8c216f93d89d27010f70c1ca,0.8056,0.3367,true
text-json,1048576,14,001162f3e913a7e01aa2a67b388688e0b3ba3e83816e9bbe46fe21b666ef0cce,0.8209,0.3130,true
text-json,1048576,15,40d3f7b9d6ff92d966c08e4f184ece39a838913a554768a59e1251061477fc84,0.7109,0.3121,true
text-json,1048576,16,9cf2922d57d3704bceb7301a8f03b26be91b70819647ec51073909da6aaf2603,0.6828,0.3125,true
text-json,1048576,17,8185c2a439fc8cdd092b8936f1f2ad053c61b4e413785733895889467efb1830,0.7380,0.3260,true
text-json,1048576,18,3be55f2efd5fb5bb4c1f0942dc95d54315dd80862352d62964af188c4a2008c5,0.8205,0.3138,true
text-json,1048576,19,869cc79686d6ba739bf69a86941a9a6e57e7e93cb2c206c8bb8fc11e4c53aa37,0.6984,0.3189,true
text-json,1048576,20,c9ccf7f2e7a80411bd80f417e7c7a7e0faf5425e6e8234628c362871e9b940b1,0.6889,0.3119,true
text-json,1048576,21,aaab174bdc1c87b2903db507f0f1463169832193e73a7eb1636c8610f8aefd42,0.9440,0.3097,true
text-json,1048576,22,9d6d0843d5b3b7ddfe48eb9cfdb854db3d91ebbb6672cea54fd7ec4fa54acb22,0.7391,0.3087,true
text-json,1048576,23,fe2325a8bc2b70cc4fc41e75e12fee013f5118518ad9f7afc50da6c8f3f5a5ab,0.7995,0.3093,true
text-json,1048576,24,143ec85244e10ca52de0f51d13d47ca2c47bfa847f90ee226e9f3ad45dcac77c,0.6936,0.3137,true
text-json,1048576,25,6d6e539ee51acd3cabe236cee92fd3bb1ac30a3c1ccb458c9a124f931c3c7af2,0.6845,0.3075,true
text-json,1048576,26,5b0a0de6e0256da4860722f65eca0efd6c147dc3116858878fd43f4d7238985d,0.6617,0.3205,true
text-json,1048576,27,4e103eca4bc7d5d403188d04be5dc23047295aa1cd3ad59ea1c238d061675f92,0.7842,0.3263,true
text-json,1048576,28,8932543eb85c4b4f58449ce8a00f882713e2429421ef6adce54e8147d4f70d28,0.8305,0.3134,true
text-json,1048576,29,a03ee16f674798fa34aef6fb7fa294c4a0b9b007024099961ef8de8c438e11cc,0.9537,0.3438,true
text-json,1048576,30,1643d989c47a4f72e37f1a93781ce3fb1bec7770adc5aa3c9dfa567f88f5ca96,0.8724,0.3130,true
binary-image-like,1048576,1,cb4ead30a9861fe4bde9fdb9c9657bdc8f8576a64620e061298abbdbd28b537a,0.9319,0.3313,true
binary-image-like,1048576,2,45d03123ee2d4b8f6345b3c241bd16e754b9e387185d04b1c0f360d0b8ea794a,0.9308,0.3273,true
binary-image-like,1048576,3,f2f1fea8df84cb016d24ecfe26280719e83bcd1aa89e58bc24fdc0ad00e21728,0.8851,0.3215,true
binary-image-like,1048576,4,c127ae97f634e679f5674580a0ed576ebc1827eb328e6b0913b1058df2195dd5,1.1610,0.3440,true
binary-image-like,1048576,5,e549a1debd9af898f3f66b980be3765e639f61893b6567208ae34c7e7f007401,1.2172,0.3301,true
binary-image-like,1048576,6,c65ff8c59592debb08ec02350e9ccc461d121ab0c0a788dac27f7e74d7785581,0.9097,0.3335,true
binary-image-like,1048576,7,85db7958d2481c41d5c93e131fdb265297a982fb058c92d6f33e65348770207d,1.3644,0.3555,true
binary-image-like,1048576,8,1b000c512cc1f18f25b0bc47f8e666ec76e69c9c48284064ede1a7922ae69362,1.1478,0.3385,true
binary-image-like,1048576,9,b4283d061554b242235702488862d05f064317ee1c45471d78f541ffaf8b3002,1.3609,0.4319,true
binary-image-like,1048576,10,1259c052a67a2c491dac02c6308be222c5b04df5af9f533f3b77efa64fcd9e77,1.2526,0.3463,true
binary-image-like,1048576,11,9b9c1f793c6277767ffd66919a2c7dab932a284fdc7b35f93db9ddc6a2b4a9af,0.9182,0.3329,true
