fileSizeBytes,round,chunkBytes,chunks,encryptMs,decryptVerifyMs,observedHeapPeakDeltaBytes,observedHeapPeakPercent,configuredPlaintextBufferBytes,merkleVerified,success
104857600,14,131072,800,538.7237,207.0361,920240,0.8776,131072,true,true
104857600,15,131072,800,542.2987,202.0504,2050832,1.9558,131072,true,true
104857600,16,131072,800,550.6641,221.4265,986936,0.9412,131072,true,true
104857600,17,131072,800,571.9456,222.3158,3167936,3.0212,131072,true,true
104857600,18,131072,800,636.4262,219.7853,3228104,3.0786,131072,true,true
104857600,19,131072,800,565.4588,219.0601,2802968,2.6731,131072,true,true
104857600,20,131072,800,583.2818,218.3079,728328,0.6946,131072,true,true
104857600,21,131072,800,576.0063,235.1869,1606368,1.5320,131072,true,true
104857600,22,131072,800,584.8862,238.5531,1334736,1.2729,131072,true,true
104857600,23,131072,800,676.8132,255.5160,1818800,1.7345,131072,true,true
104857600,24,131072,800,689.5733,263.9846,2450904,2.3374,131072,true,true
104857600,25,131072,800,698.7751,267.3643,1818288,1.7341,131072,true,true
104857600,26,131072,800,668.2305,273.7296,772080,0.7363,131072,true,true
104857600,27,131072,800,640.0535,254.0969,1023704,0.9763,131072,true,true
104857600,28,131072,800,633.7753,252.4436,1408536,1.3433,131072,true,true
104857600,29,131072,800,727.1421,294.6641,1723976,1.6441,131072,true,true
104857600,30,131072,800,642.9699,387.4514,418912,0.3995,131072,true,true
